제목,축제 기간,주소,비용,상세 내용
청춘양구 펀치볼 시래기 사과축제,2024.11.01 ~ 2024.11.03,강원특별자치도 양구군 해안면 해안서화로 15 양구군 해안면 펀치볼 힐링하우스 앞 성황지 양구군 해안면 펀치볼 힐링하우스 앞 성황지,무료,"청춘양구 펀치볼 시래기사과축제로서 연결고리#시래기#사과 주제로 2024. 11. 01.(금) ~ 11. 03.(일) 3일간 양구군 해안면 펀치볼 힐링하우스 앞 성황지에서 개최된다.
[행사내용]
공연 : 개막식, 요일별 메인 공연 등
체험 : 시래기·사과 채취 체험, 시래기 떡메치기, 농촌체험마을 체험 등
홍보전시 : 시래기융복합 사업단, 사과홍보관 등
판매, 먹거리 : 시래기 사과 판매, 먹거리, 까페 분식 등"
통영어부장터,2024.11.01 ~ 2024.11.03,경상남도 통영시 도남동 650-3 통영 트라이애슬론광장,무료(먹거리판매 유료),"통영어부장터 축제는 2024년 처음 개최되는 수산물 축제로, 통영의 우수한 수산물을 홍보하고 소비를 촉진하기 위해 기획되었다. 통영 수산물을 활용한 이색적인 먹거리와 바비큐 메뉴를 선보이며, 질 높은 먹거리를 합리적인 가격으로 제공함으로써 지역경제 활성화 기여를 위해 개최되는 행사이다.
[행사내용]
대표 프로그램
1. 먹거리부스 운영
2. 체험부스 운영
3. 특산물 판매"
해남미남(味南)축제,2024.11.01 ~ 2024.11.03,전라남도 해남군 삼산면 대흥사길 154,무료(일부 프로그램 유료),"해남의 다양한 농수산물을 활용해 먹거리존, 미식체험, 체험프로그램을 운영한다. 더 신나고, 더 특별한 미남축제만의 개막 퍼포먼스, 온 가족이 즐기는 농산물 체험 프로그램 등 다양한 즐길거리를 만나볼 수 있다.
[행사내용]
1. 메인프로그램: 축하쇼, 낭만콘서트, 515 김치비빔, 떡국나눔, 대동음식 퍼포먼스
2. 특별프로그램: 우리가족 요리 대회, 가족 요리교실, 전국 미남 그림그리기 대회, 플리마켓 등
3. 먹거리프로그램: 미남주제관(대표 음식 전시), 미남푸드관 및 주전부리관(푸드코트), 농산물 판매관
4. 체험프로그램: 구이터, 농산물 경매, 고구마 많이 담기, 세계 음식 체험, 해남 전통주 체험, 해남쌀 촉감놀이 등"
홍성글로벌바비큐페스티벌,2024.11.01 ~ 2024.11.03,충청남도 홍성군 홍성읍 아문길 27,입장 무료,"예부터 홍성은 한우, 한돈, 닭을 많이 키워 전국에서 제일가는 축산도시이다. 축제기간 홍성군의 다양한 축산물을 저렴하게 맛보고 구매할 수 있고, 바베큐라는 재미도 함께 즐길 수 있는 축제이다. 바베큐를 통한 다양한 먹거리도 즐기고 바베큐를 직접 체험할 수 있는 알찬 바베큐 축제이다.

홍성의 우수한 품질의 한우, 한돈과 다양한 특산물을 즐길 수 있다.
[행사내용]
1. 메인 프로그램 : 메인 바베큐존, 유튜버 바베큐존, 홍성 한우/한돈 먹거리존 등
2. 체험 프로그램 : 조선 바베큐 '난로회' 체험, 홍성 마늘 소시지 만들기, 추억 게임 이벤트 등
3. 공연 프로그램 : 개막 축하공연, DJ 공연, 홍성 예술인 콘서트 등
4. 기타 프로그램 : 홍성농특산품 홍보관, 홍주읍성 야외도서관, 바비큐 인생사진컷 등
5. 연계 행사 : 홍성사랑국화축제, 청소년 문화페스티벌, 전국사진촬영대회 등"
홍천사과축제,2024.11.01 ~ 2024.11.03,강원특별자치도 홍천군 홍천읍 갈마곡리 501,무료,"따사로운 햇살과 깨끗한 공기가 어우러진 청정지역 홍천에서 높은 당도와 아삭한 식감을 자랑하는 홍천 사과축제가 9번째 맞이한다. 해발 100m ~ 1,000m 지역에서 달콤한 홍로부터 아리수, 시나노 골드 등 다양한 품정이 재배되고 있다. 풍성한 홍천 사과만큼 다양한 체험과 이벤트를 준비하여 방문객들에게 즐거움을 선사한다.
[행사내용]
1. 이벤트행사 : 개장식, 홍천사과왕 시상식, 행운권 추첨, 덤&레드 이벤트, 사생대회 등
2. 무대행사 : 지역 동아리 공연, 사과 길게깍기, 사과빨리먹기, 사과 쪼개기 등 각종 이벤트
3. 체험행사 : 천연염색 체험, 사과 포토존, 드론체험, 떡메치기 등
4. 판매행사 : 사과 판매장, 농특산물 판매장, 향토음식점, 일반 먹거리
5. 홍보 전시행사 : 사과품종 전시관, 우리꽃 포토존, 야생화전시관 등"
K-막걸리&김치 축제,2024.10.31 ~ 2024.11.02,충청북도 청주시 청원구 상당로 314 (내덕동) 청주시 문화제조창,무료,"매해 10월 31일인 '막걸리의 날'을 기념하며, 국가무형문화유산인 막걸리와 유네스코세계문화유산인 김치를 연계한 지역축제를 개최하고자 한다. 전통주 산업경쟁력을 강화하고 국산 김치의 소비를 확산하기 위함이며 우리 농산물의 소비 촉진 등으로 지역경제 활성화를 기대한다.
[행사내용]
1. 메인프로그램 : 막걸리(전국 30업체) 및 못난이 김치(충북 8업체) 판매관 운영
2. 공연프로그램 : 지역문화공연, 밴드 축하공연, EDM파티, 버블쇼, K-POP랜덤플레이댄스 등
3. 체험프로그램 : 막걸리 박 꾸미기, 풍선아트, SNS인증샷 이벤트 등
4. 쉼터 : 파라솔, 돗자리 이용한 쉬어가는 공간 마련"
대한민국청소년미디어대전,2024.10.31 ~ 2024.11.06,서울특별시 중구 세종대로 110 서울특별시청,무료,"대한민국청소년미디어대전(이하 KYMF)은 2001년부터 시작하여 24년 역사를 자랑하는 국내 최대 규모의 청소년 미디어 축제이다. 2024년에는 '학교'라는 특별주제로 10월 31일~11월 6일까지 서울특별시청, 청계천 광교갤러리, 시립청소년미디어센터에서 진행된다. 미디어대전은 청소년이 메시지를 가지고 제작한 공익광고, 다큐멘터리, 애니메이션, 영화, 트렌드미디어(MV 등), 사진이라면 출품을 통해 축제에 참여할 수 있다.
[행사내용]
1. 메인프로그램 : 시상식(11/2)
2. 부대프로그램 : 수상자&심사위원 네트워크파티(11/2), 사진 전시회(10/30~11/6), 상영회 및 관객과의 대화(11/3)
3. 기타 내용 : 온라인 상영&전시관 운영(상시)"
대한민국 청년미술축제: 아트그라운드 서울,2024.10.30 ~ 2024.11.03,"서울특별시 용산구 양녕로 445 (이촌동) 노들갤러리 1관, 2관",무료,"대한민국 청년미술축제 : 아트그라운드 서울'은 다양하고 폭넓은 장르의 미술 작품을 시민들에게 소개하고 예술가와 관람객의 능동적인 소통을 기반으로 한 전시를 기획하여 본질적으로는 작가들의 작품활동 환경 개선과 서울 시민의 문화적 소양 증대, 작품 향유로 인한 다양한 긍정적인 효과를 꾀하기 위해 기획되었다. 유명세를 떠나 질적으로 훌륭한 여러 청/장년 아티스트의 작품 전시와 더불어 멘토링 프로그램, 아티스트 토크, 관람객 참여 프로그램 등으로 작가, 관람객 등 함께 모두가 어울려 즐길 수 있는 놀이터 같은 축제가 되기를 희망한다.
[행사내용]
1. 메인프로그램: 초대 작가 전시, 공모 당선 작가 전시
2. 부대프로그램: 아티스트 토크
3. 소비자 참여 프로그램: 미술 강연, 관람객 미술 참여 프로그램
4. 기타: 작가 개인별 관람객 참가 이벤트"
부산가을맥주축제,2024.10.30 ~ 2024.11.02,부산광역시 부산진구 서면문화로 32 (부전동),유료,"10월 30일 - 11월 2일, 스콜에서 올해 마지막 부산 맥주 축제가 열린다. 이번 맥주 축제는 ""가을 바베큐""를 주제로 진행하며 매장에서 직접 훈연한 바베큐와 잘 어울리는 맥주, 와인을 맛볼 수 있다.
[행사내용]
1. 메인 프로그램
-매장에서 훈연한 바베큐와 즐기는 2시간 무제한 유럽 맥주 & 와인

2. 부대프로그램
-이벤트존, 다양한 공연, 축제 푸드존 등 다양한 이벤트와 즐길거리

3. 티켓
2) 티켓: 얼리버드 티켓 19,000원~28,000원(정상가 35,000원)
※ 준비된 물량 소진시 가격이 상승된 티켓이 오픈된다.
3) 포함: 유럽 맥주/와인 무제한(120분) + 1인 바베큐 샘플 플래터 + 가이드북
*이외 다양한 즐길거리가 준비되어 참여 가능하다.

4. 이용 요금
-유료 (정상가 35,000원)
-얼리버드 티켓 19,000원~25,000원
-사전예약 티켓 26,000원~28,000원
*2차 얼리버드 티켓 판매 완료 시 온라인 사전예약 티켓 오픈

5. 축제 시간
-10월 30일(수) 17:00-24:00
-10월 31일(목) 17:00-24:00
-11월 1일(금) 17:00-24:00
-11월 2일(토) 13:00-24:00

*이용 시간: 최대 2시간
*입장 시간 기준이 아닌, 구매 티켓 시간 기준으로 2시간 이용 가능
(ex. 1시 티켓 구매 후 1시 30분에 입장하더라도 3시까지 이용 가능)
*입장 5분 전 발권을 시작하여 10분 전에 도착하면 원활한 이용이 가능하다.

6. 프로그램
· BEER ZONE : 유럽 생맥주와 와인을 2시간동안 무제한으로 즐길 수 있다.
· EVENT ZONE : 부맥제에 어울리는 재미있는 이벤트와 다트게임이 준비되어 있어 참여 가능하며, 참여 시 선물을 받을 수 있다.
· MUSIC ZONE : 가을과 잘 어울리는 밴드 공연을 진행한다. 공연 시간에 맞춰 자유롭게 즐길 수 있다.
(시간은 주최사의 상황에 따라 변동될 수 있습니다.)
· 축제 FOOD ZONE : 스콜 쉐프가 정성껏 만든 맥주찰떡궁합 안주인 훈연한 바베큐를 메인으로 주류와 페어링하기 좋은 안주들이 준비되어 구매 가능하다.
· 할로윈 PHOTO ZONE : 10월 31일, 할로윈에 맞춰 으스스하게 준비된 할로윈 포토존이 준비된다.
· 케그 BOMB : 주문한 맥주가 케그의 마지막 맥주일 때마다 시크릿 상품을 받을 수 있다.

7. 문의
카카오톡 : @skoll"
청송사과축제,2024.10.30 ~ 2024.11.03,경상북도 청송군 청송읍 금월로 269 청송군 청송읍 용전천 현비암 일원,무료,"2024년도 청송사과축제는 10월 30일(수) ~ 11월 3일(일)까지 5일간 청송읍 용전천 현비암 일원에서 ""청송사과 끝없는 비상""이라는 주제로 개최한다. 이번 사과축제는 방문객 남녀노소 누구나 쉽게 참여하고 즐길 수 있도록 수천개의 사과풍선 중 황금사과를 찾는 “황금사과를 찾아라”, 사과선별을 통해 로또 번호를 추첨하는 “도전-사과 선별 로또”, 만보기가 달린 방망이로 최고의 난타꾼을 뽑는 “꿀잼-사과난타” 등 현장에서 즐길 수 있는 다양한 프로그램이 운영된다.
[행사내용]
1. 주요프로그램 : 청송사과 퍼레이드, 청송사과 꽃줄엮기 전국대회 등
2. 체험프로그램 : 만유인력-황금사과를 찾아라, 꿀잼-사과난타, 도전-사과선별로또, 사과 방망이 체험, 타투 스티커 체험, 포토부스, 사과나무 메모꽂이 만들기, 사과 티코스터 만들기 등
3. 전시판매행사 : 사과요리판매(사과바싹불고기, 사과푸딩 등), 사과가공품판매(사과막걸리, 사과한과, 사과탄산음료, 사과떡, 사과식초 등), 농특산품 판매 등
4. 기타프로그램 : 제19회 내고장 청송 알기 퀴즈대회, 전국고교장사씨름대회, 헬로콘서트 좋은날 녹화 공연, 청송군민 노래자랑 등"
양천가족 거리축제,2024.10.27 ~ 2024.10.27,서울특별시 양천구 신월로 301-1 (신정동) 신정네거리역 일대 (서울남부지방법원 방향 약 600M 구간),무료,"2024년 가을, 양천의 새로운 축제가 시작됩니다! 양천구의 중심인 신정네거리 일대에서 열리는 이 축제는 양천구민이 주최하고, 양천구민을 위해 마련된 화합의 장이다. 5060, 7080세대를 위한 추억과 낭만의 공긴이 마련되며, 청소년과 2030세대에게는 다양한 체험과 호기심을 자극하는 기회가 제공된다. 양천가족 거리축제는 모든 세대가 한 자리에 모여 이야기를 나누고, 그 이야기가 다시 퍼져 나가는 양천의 새로운 랜드마크 축제이다.
[행사내용]
1. 만남의 광장 : 시민 거리퍼레이드, 아스팔트 초크아트 체험, 브릭아트 체험, 키즈 놀이터&빈백존
2. 북페스티벌 : 북콘서트, 책BTI 체험, 세대별 베스트셀러 전시 등
3. 젊음의 거리 : 바텐더 칵테일쇼, 무소음 디제잉 파티, 문화 체험 프로그램 등
4. 7080 문화 체험 거리 : 7080 시대를 체험하는 전시존, 추억의 DJ 뮤직박스, 문화 체험 프로그램 등
5. 5060 문화 체험 거리 : 추억의 동춘서커스, 전통 혼례체험, 민속놀이존, 문화 체험 프로그램 등
6. 먹거리 존 : 관내 맛집 부스 운영
7. 메인무대 : 양천문화원 '전토예술제', '노래하는 대한민국' 방송녹화, 폐막식 특별공연"
정신건강의 날 행사 - 마음건강 톡톡 페스티벌,2024.10.27 ~ 2024.10.27,서울특별시 마포구 홍익로 18,무료,"현대인의 정신건강에 관한 6개의 <강연>, 정신건강의학과 의사와 환우가 함께하는 토크콘서트 <내 친구를 소개합니다>와 가수 <하림>의 축하공연 힐링 콘서트가 진행된다.
[행사내용]
1. 메인프로그램 : 토크 콘서트 <내 친구를 소개합니다>
2. 부대프로그램 : 6개의 클래스 <현대인의 정신건강 강연>"
헬로인안정리,2024.10.27 ~ 2024.10.27,경기도 평택시 팽성읍 안정쇼핑로 11,무료,"[헬로인 안정리] 축제는 평택시국제교류재단이 진행하는 가족 친화적인 가을 축제이다. 안정리에서 열리는 이번 축제는 시민과 주한미군 가족 등이 함께 어우러져 다양한 문화와 즐거움을 나누는 소통의 장을 제공한다. 행사에서는 다채로운 체험 부스, 지역 예술가들이 준비한 공연, 콘테스트와 볼거리가 마련되어 있다. 특히 어린이와 가족을 위한 프로그램이 중심이 된다.
[행사내용]
1. 메인 프로그램
(1) 퍼레이드
- 참가자가 함께하는 퍼레이드로, 안정리 거리 곳곳을 화려하게 수놓습니다. 참여자들이 다양한 복장과 테마로 행진하며, 관람객들에게 즐거움을 선사합니다.
(2) 무대 공연
- 지역 예술가들의 특별 공연, 밴드 공연, 전통 및 현대 공연 등 다채로운 프로그램이 무대에서 펼쳐집니다. 현장에서 다양한 장르의 공연을 즐기실 수 있습니다.

2. 부대 프로그램
(1) 체험부스
- 페이스 페인팅, 등 어린이와 가족들이 즐길 수 있는 다양한 체험 활동이 마련됩니다. 참여자들은 직접 체험을 통해 다양한 문화와 창작을 경험할 수 있습니다.
(2) 푸드 트럭
- 지역 음식점과 푸드 트럭이 참여해 맛있는 음식과 간식을 제공합니다. 다양한 나라의 음식과 지역 특산물을 맛볼 수 있는 기회입니다.

3. 참여 이벤트
(1) 포토존
- 참가자들이 특별한 추억을 남길 수 있는 포토존이 설치됩니다. 독특한 배경에서 사진을 찍고, 가족과 함께 순간을 기록할 수 있습니다.
(2) 코스튬 콘테스트
- 축제 현장에서 진행되는 이벤트로 경연 승자에게 차등별로 상금 지급 됩니다.

4. 기타 사항
(1) 안전 관리
- 축제 현장에는 안전요원이 배치되어 인파 관리 및 응급 상황에 대비합니다. 가족 단위의 참가자가 많기 때문에, 편안하고 안전한 축제 환경을 제공합니다.
(2) 주차 및 교통 안내
- 행사 당일 원활한 주차와 이동을 위해 다수 인력 배치 예정이며, 지역 주민과 외부 방문객의 편의를 돕기 위한 안내가 행사 전후로 제공됩니다."
